status,claim,stated,actual
PASS,§11 Rewari P(fall>20%): 4%,0.045,0.0445778985279628
PASS,§10.3 stated P(fall>5%): 29.9%,0.299,0.29946777518034
PASS,§10.3 observed fall>5%: 29.2%,0.292,0.2920168067226891
PASS,§10.3 stated P(fall>10%): 11.5%,0.115,0.11536883495057992
PASS,§10.3 observed fall>10%: 10.9%,0.109,0.1092436974789916
PASS,§10.3 stated P(fall>20%): 1.2%,0.012,0.011859172221861707
PASS,§10.3 observed fall>20%: 2.3%,0.023,0.023109243697478993
PASS,§10.3 stated P(increase): 45.9%,0.459,0.45879980579937035
PASS,§10.3 observed increase: 43.5%,0.435,0.43487394957983194
PASS,§11b jan15 error: 307.0,307.0,306.9668974749342
PASS,§11b jan15 direction: 70.2%,0.702,0.7016806722689075
PASS,§11b feb15 error: 307.0,307.0,306.9668974749342
PASS,§11b feb15 direction: 70.2%,0.702,0.7016806722689075
PASS,§11b mar05 error: 273.3,273.3,273.2618039204542
PASS,§11b mar05 direction: 77.9%,0.779,0.7794117647058824
PASS,§11b jan15 2019-20: 296.8,296.8,296.75187765522213
PASS,§11b jan15 2021-22: 316.9,316.9,316.8527661215437
PASS,§11b mar05 2019-20: 257.0,257.0,256.9986220174666
PASS,§11b mar05 2021-22: 288.6,288.6,288.6100054482604
PASS,§13 season-effect SD: 354,354.0,353.91933678860767
PASS,§13 district-variation SD: 289,289.0,289.33190513342976
PASS,§5 gate fires on 20.6%,0.206,0.206
PASS,§7 physical training starts 2013,2013.0,2013.0
PASS,§8.5 crop features kept: 16,16.0,16.0
PASS,§8.5 crop features dropped: 14,14.0,14.0
PASS,§9 distribution width scale 1.00,1.0,1.0
PASS,§8.5 crop correction weight 2.25,2.25,2.25
PASS,§7 window correction weight 0.25,0.25,0.25
PASS,§11b January 80% coverage: 79.3%,0.793,0.7927170868347339
PASS,§11b January 90% coverage: 90.5%,0.905,0.9047619047619048
PASS,§11b January stated P(fall>5%),0.263,0.2625164692099857
PASS,§11b January observed fall>5%,0.249,0.24929971988795518
PASS,§11b January stated P(fall>10%),0.107,0.10712721640931921
PASS,§11b January observed fall>10%,0.09,0.0896358543417367
PASS,§11b January stated P(fall>20%),0.023,0.023375447691059564
PASS,§11b January observed fall>20%,0.02,0.0196078431372549
PASS,§11b January stated P(increase): 48.0%,0.48,0.47979833227981356
PASS,"§11b Rewari January point: 4,555",4555.0,4554.68017578125
PASS,§11b Rewari January error: 405,405.0,404.68017578125
PASS,§11b Rewari January P(fall>10%): 9%,0.09,0.0869404129474169
PASS,§11b Rewari January P(increase): 43%,0.43,0.4314115147443818
PASS,§7 model without window correction: 268.3,268.3,268.3488029125336
PASS,§7 its direction accuracy: 79.6%,0.796,0.7962184873949579
